description,reactStr,reacIndex,A,beta,Ta
MicroReversibleArrhenius,O2(4)+O=O2(3)+O,6,1.825952e-17,2.409609e-01,-4.486313e+02
MicroReversibleArrhenius,O2(5)+O=O2(1)+O,6,7.732960e-22,8.619112e-01,-2.324077e+02
MicroReversibleArrhenius,O2(5)+O=O2(2)+O,6,3.740844e-21,8.281372e-01,-4.502625e+02
MicroReversibleArrhenius,O2(5)+O=O2(3)+O,6,1.363226e-19,5.687219e-01,6.088814e+02
MicroReversibleArrhenius,O2(5)+O=O2(4)+O,6,1.908375e-17,2.254539e-01,-6.188029e+02
MicroReversibleArrhenius,O2(6)+O=O2(1)+O,6,4.988777e-22,8.343881e-01,-2.381073e+02
MicroReversibleArrhenius,O2(6)+O=O2(2)+O,6,1.645331e-21,8.303184e-01,-6.884207e+02
MicroReversibleArrhenius,O2(6)+O=O2(3)+O,6,8.096584e-21,7.500953e-01,-4.666456e+02
MicroReversibleArrhenius,O2(6)+O=O2(4)+O,6,8.480567e-20,6.005246e-01,2.245567e+02
MicroReversibleArrhenius,O2(6)+O=O2(5)+O,6,8.183281e-18,2.933812e-01,-9.261534e+02
MicroReversibleArrhenius,O2(7)+O=O2(1)+O,6,4.126133e-23,9.992703e-01,-3.910066e+02
MicroReversibleArrhenius,O2(7)+O=O2(2)+O,6,2.130051e-22,9.580918e-01,-3.647380e+02
MicroReversibleArrhenius,O2(7)+O=O2(3)+O,6,1.033534e-21,8.813115e-01,-5.849068e+01
MicroReversibleArrhenius,O2(7)+O=O2(4)+O,6,6.280361e-21,7.761859e-01,3.936688e+02
MicroReversibleArrhenius,O2(7)+O=O2(5)+O,6,6.757867e-20,6.258613e-01,9.418693e+02
MicroReversibleArrhenius,O2(7)+O=O2(6)+O,6,4.556038e-18,3.684805e-01,-6.892457e+02
MicroReversibleArrhenius,O2(8)+O=O2(1)+O,6,3.029817e-24,1.138343e+00,-1.524134e+03
MicroReversibleArrhenius,O2(8)+O=O2(2)+O,6,1.109017e-23,1.152997e+00,-1.245880e+03
MicroReversibleArrhenius,O2(8)+O=O2(3)+O,6,2.336802e-23,1.175086e+00,-8.262966e+02
MicroReversibleArrhenius,O2(8)+O=O2(4)+O,6,2.433287e-22,1.017193e+00,2.129099e+02
MicroReversibleArrhenius,O2(8)+O=O2(5)+O,6,1.760719e-21,8.944026e-01,8.698009e+02
MicroReversibleArrhenius,O2(8)+O=O2(6)+O,6,3.523255e-20,6.856922e-01,1.645768e+03
MicroReversibleArrhenius,O2(8)+O=O2(7)+O,6,3.090136e-18,4.021400e-01,-8.268950e+02
MicroReversibleArrhenius,O2(9)+O=O2(1)+O,6,9.437193e-25,9.946736e-01,-2.215026e+03
MicroReversibleArrhenius,O2(9)+O=O2(2)+O,6,1.581433e-26,1.659160e+00,-2.750706e+03
MicroReversibleArrhenius,O2(9)+O=O2(3)+O,6,5.304588e-25,1.450497e+00,-6.551767e+02
MicroReversibleArrhenius,O2(9)+O=O2(4)+O,6,2.422221e-24,1.400207e+00,-1.513032e+02
MicroReversibleArrhenius,O2(9)+O=O2(5)+O,6,5.037649e-23,1.172754e+00,8.573479e+02
MicroReversibleArrhenius,O2(9)+O=O2(6)+O,6,1.357338e-21,9.047053e-01,1.522528e+03
MicroReversibleArrhenius,O2(9)+O=O2(7)+O,6,1.361105e-20,7.385909e-01,2.726841e+03
MicroReversibleArrhenius,O2(9)+O=O2(8)+O,6,1.481012e-18,4.723503e-01,-9.210104e+02
