# Te [K]  Q(l,s) = PI*sigma^2*Omega*(l,s) [A^2]
# (1,1)  (1,2)  (1,3)  (1,4)  (1,5)
1.19000000e+04 1.95093783e+01 1.74376168e+01 1.49300572e+01 1.25813141e+01 1.06607445e+01 
1.20000000e+04 1.94569679e+01 1.73534444e+01 1.48318245e+01 1.24851415e+01 1.05748919e+01 
1.21000000e+04 1.94042090e+01 1.72695149e+01 1.47345009e+01 1.23902837e+01 1.04904648e+01 
1.22000000e+04 1.93511220e+01 1.71858459e+01 1.46380879e+01 1.22967242e+01 1.04074354e+01 
1.23000000e+04 1.92977265e+01 1.71024542e+01 1.45425859e+01 1.22044465e+01 1.03257763e+01 
1.24000000e+04 1.92440418e+01 1.70193555e+01 1.44479951e+01 1.21134337e+01 1.02454606e+01 
1.25000000e+04 1.91900865e+01 1.69365648e+01 1.43543145e+01 1.20236693e+01 1.01664618e+01 
1.26000000e+04 1.91358787e+01 1.68540961e+01 1.42615429e+01 1.19351362e+01 1.00887540e+01 
1.27000000e+04 1.90814360e+01 1.67719625e+01 1.41696783e+01 1.18478177e+01 1.00123116e+01 
1.28000000e+04 1.90267753e+01 1.66901767e+01 1.40787183e+01 1.17616969e+01 9.93710956e+00 
1.29000000e+04 1.89719133e+01 1.66087502e+01 1.39886600e+01 1.16767570e+01 9.86312331e+00 
1.30000000e+04 1.89168660e+01 1.65276940e+01 1.38994998e+01 1.15929812e+01 9.79032873e+00 
1.31000000e+04 1.88616490e+01 1.64470185e+01 1.38112341e+01 1.15103528e+01 9.71870217e+00 
1.32000000e+04 1.88062772e+01 1.63667332e+01 1.37238586e+01 1.14288550e+01 9.64822041e+00 
1.33000000e+04 1.87507654e+01 1.62868471e+01 1.36373686e+01 1.13484714e+01 9.57886073e+00 
1.34000000e+04 1.86951276e+01 1.62073687e+01 1.35517593e+01 1.12691854e+01 9.51060084e+00 
1.35000000e+04 1.86393777e+01 1.61283058e+01 1.34670255e+01 1.11909808e+01 9.44341889e+00 
1.36000000e+04 1.85835288e+01 1.60496656e+01 1.33831616e+01 1.11138412e+01 9.37729349e+00 
1.37000000e+04 1.85275938e+01 1.59714548e+01 1.33001617e+01 1.10377506e+01 9.31220368e+00 
1.38000000e+04 1.84715852e+01 1.58936796e+01 1.32180200e+01 1.09626931e+01 9.24812893e+00 
1.39000000e+04 1.84155149e+01 1.58163459e+01 1.31367301e+01 1.08886529e+01 9.18504915e+00 
1.40000000e+04 1.83593946e+01 1.57394588e+01 1.30562857e+01 1.08156142e+01 9.12294465e+00 
1.41000000e+04 1.83032356e+01 1.56630233e+01 1.29766799e+01 1.07435618e+01 9.06179616e+00 
1.42000000e+04 1.82470487e+01 1.55870436e+01 1.28979062e+01 1.06724802e+01 9.00158482e+00 
1.43000000e+04 1.81908445e+01 1.55115238e+01 1.28199575e+01 1.06023543e+01 8.94229218e+00 
1.44000000e+04 1.81346330e+01 1.54364676e+01 1.27428267e+01 1.05331693e+01 8.88390016e+00 
1.45000000e+04 1.80784241e+01 1.53618781e+01 1.26665066e+01 1.04649104e+01 8.82639108e+00 
