# Te [K]  Q(l,s) = PI*sigma^2*Omega*(l,s) [A^2]
# (1,1)  (1,2)  (1,3)  (1,4)  (1,5)
8.10000000e+03 5.08605558e+00 7.51142733e+00 9.91789781e+00 1.21174664e+01 1.39844643e+01 
8.20000000e+03 5.17586336e+00 7.62994535e+00 1.00529090e+01 1.22544835e+01 1.41095512e+01 
8.30000000e+03 5.26561565e+00 7.74780495e+00 1.01863744e+01 1.23889373e+01 1.42311197e+01 
8.40000000e+03 5.35529200e+00 7.86497948e+00 1.03182706e+01 1.25208215e+01 1.43491949e+01 
8.50000000e+03 5.44487249e+00 7.98144339e+00 1.04485760e+01 1.26501326e+01 1.44638043e+01 
8.60000000e+03 5.53433768e+00 8.09717223e+00 1.05772709e+01 1.27768692e+01 1.45749777e+01 
8.70000000e+03 5.62366868e+00 8.21214264e+00 1.07043375e+01 1.29010321e+01 1.46827470e+01 
8.80000000e+03 5.71284708e+00 8.32633232e+00 1.08297594e+01 1.30226243e+01 1.47871460e+01 
8.90000000e+03 5.80185497e+00 8.43972001e+00 1.09535221e+01 1.31416507e+01 1.48882104e+01 
9.00000000e+03 5.89067495e+00 8.55228548e+00 1.10756125e+01 1.32581181e+01 1.49859774e+01 
9.10000000e+03 5.97929011e+00 8.66400950e+00 1.11960191e+01 1.33720351e+01 1.50804857e+01 
9.20000000e+03 6.06768402e+00 8.77487381e+00 1.13147320e+01 1.34834120e+01 1.51717756e+01 
9.30000000e+03 6.15584073e+00 8.88486113e+00 1.14317426e+01 1.35922606e+01 1.52598882e+01 
9.40000000e+03 6.24374478e+00 8.99395509e+00 1.15470436e+01 1.36985944e+01 1.53448661e+01 
9.50000000e+03 6.33138115e+00 9.10214026e+00 1.16606292e+01 1.38024281e+01 1.54267525e+01 
9.60000000e+03 6.41873532e+00 9.20940209e+00 1.17724948e+01 1.39037778e+01 1.55055919e+01 
9.70000000e+03 6.50579321e+00 9.31572691e+00 1.18826369e+01 1.40026608e+01 1.55814292e+01 
9.80000000e+03 6.59254119e+00 9.42110188e+00 1.19910534e+01 1.40990957e+01 1.56543101e+01 
9.90000000e+03 6.67896607e+00 9.52551501e+00 1.20977431e+01 1.41931020e+01 1.57242809e+01 
1.00000000e+04 6.76505513e+00 9.62895509e+00 1.22027060e+01 1.42847002e+01 1.57913883e+01 
1.01000000e+04 6.85079604e+00 9.73141173e+00 1.23059430e+01 1.43739118e+01 1.58556794e+01 
1.02000000e+04 6.93617692e+00 9.83287527e+00 1.24074562e+01 1.44607594e+01 1.59172017e+01 
1.03000000e+04 7.02118631e+00 9.93333680e+00 1.25072484e+01 1.45452659e+01 1.59760029e+01 
1.04000000e+04 7.10581314e+00 1.00327881e+01 1.26053234e+01 1.46274552e+01 1.60321308e+01 
1.05000000e+04 7.19004676e+00 1.01312217e+01 1.27016858e+01 1.47073521e+01 1.60856333e+01 
1.06000000e+04 7.27387693e+00 1.02286308e+01 1.27963412e+01 1.47849816e+01 1.61365584e+01 
1.07000000e+04 7.35729377e+00 1.03250093e+01 1.28892956e+01 1.48603695e+01 1.61849540e+01 
1.08000000e+04 7.44028778e+00 1.04203514e+01 1.29805561e+01 1.49335420e+01 1.62308680e+01 
1.09000000e+04 7.52284988e+00 1.05146525e+01 1.30701303e+01 1.50045258e+01 1.62743481e+01 
1.10000000e+04 7.60497131e+00 1.06079081e+01 1.31580264e+01 1.50733480e+01 1.63154420e+01 
1.11000000e+04 7.68664370e+00 1.07001145e+01 1.32442535e+01 1.51400361e+01 1.63541969e+01 
1.12000000e+04 7.76785901e+00 1.07912685e+01 1.33288209e+01 1.52046179e+01 1.63906600e+01 
1.13000000e+04 7.84860956e+00 1.08813674e+01 1.34117388e+01 1.52671215e+01 1.64248779e+01 
1.14000000e+04 7.92888801e+00 1.09704092e+01 1.34930177e+01 1.53275750e+01 1.64568973e+01 
1.15000000e+04 8.00868734e+00 1.10583921e+01 1.35726687e+01 1.53860070e+01 1.64867641e+01 
1.16000000e+04 8.08800086e+00 1.11453151e+01 1.36507032e+01 1.54424462e+01 1.65145241e+01 
1.17000000e+04 8.16682221e+00 1.12311774e+01 1.37271333e+01 1.54969212e+01 1.65402224e+01 
1.18000000e+04 8.24514531e+00 1.13159787e+01 1.38019713e+01 1.55494611e+01 1.65639040e+01 
1.19000000e+04 8.32296441e+00 1.13997194e+01 1.38752300e+01 1.56000946e+01 1.65856132e+01 
1.20000000e+04 8.40027404e+00 1.14823999e+01 1.39469223e+01 1.56488507e+01 1.66053939e+01 
