# Te [K]  Q(l,s) = PI*sigma^2*Omega*(l,s) [A^2]
# (1,1)  (1,2)  (1,3)  (1,4)  (1,5)
5.00000000e+04 1.33400909e+01 1.15550122e+01 9.46873274e+00 7.67199152e+00 6.27050452e+00 
5.01000000e+04 1.33293733e+01 1.15383336e+01 9.45078903e+00 7.65520214e+00 6.25566232e+00 
5.02000000e+04 1.33186414e+01 1.15216782e+01 9.43289265e+00 7.63846954e+00 6.24087719e+00 
5.03000000e+04 1.33078957e+01 1.15050462e+01 9.41504352e+00 7.62179348e+00 6.22614884e+00 
5.04000000e+04 1.32971364e+01 1.14884376e+01 9.39724153e+00 7.60517376e+00 6.21147700e+00 
5.05000000e+04 1.32863637e+01 1.14718526e+01 9.37948659e+00 7.58861015e+00 6.19686139e+00 
5.06000000e+04 1.32755779e+01 1.14552913e+01 9.36177860e+00 7.57210243e+00 6.18230173e+00 
5.07000000e+04 1.32647793e+01 1.14387536e+01 9.34411746e+00 7.55565038e+00 6.16779774e+00 
5.08000000e+04 1.32539682e+01 1.14222398e+01 9.32650308e+00 7.53925378e+00 6.15334916e+00 
5.09000000e+04 1.32431448e+01 1.14057499e+01 9.30893535e+00 7.52291240e+00 6.13895570e+00 
5.10000000e+04 1.32323094e+01 1.13892840e+01 9.29141419e+00 7.50662604e+00 6.12461710e+00 
5.11000000e+04 1.32214623e+01 1.13728422e+01 9.27393947e+00 7.49039447e+00 6.11033309e+00 
5.12000000e+04 1.32106036e+01 1.13564245e+01 9.25651112e+00 7.47421748e+00 6.09610340e+00 
5.13000000e+04 1.31997337e+01 1.13400311e+01 9.23912902e+00 7.45809485e+00 6.08192777e+00 
5.14000000e+04 1.31888528e+01 1.13236619e+01 9.22179307e+00 7.44202637e+00 6.06780592e+00 
5.15000000e+04 1.31779611e+01 1.13073172e+01 9.20450317e+00 7.42601181e+00 6.05373760e+00 
5.16000000e+04 1.31670589e+01 1.12909969e+01 9.18725922e+00 7.41005098e+00 6.03972253e+00 
5.17000000e+04 1.31561465e+01 1.12747011e+01 9.17006112e+00 7.39414364e+00 6.02576047e+00 
5.18000000e+04 1.31452241e+01 1.12584300e+01 9.15290875e+00 7.37828959e+00 6.01185115e+00 
5.19000000e+04 1.31342918e+01 1.12421834e+01 9.13580203e+00 7.36248862e+00 5.99799432e+00 
5.20000000e+04 1.31233501e+01 1.12259617e+01 9.11874083e+00 7.34674052e+00 5.98418971e+00 
5.21000000e+04 1.31123990e+01 1.12097647e+01 9.10172506e+00 7.33104507e+00 5.97043707e+00 
5.22000000e+04 1.31014388e+01 1.11935926e+01 9.08475461e+00 7.31540207e+00 5.95673615e+00 
5.23000000e+04 1.30904698e+01 1.11774453e+01 9.06782938e+00 7.29981130e+00 5.94308669e+00 
5.24000000e+04 1.30794921e+01 1.11613231e+01 9.05094926e+00 7.28427257e+00 5.92948845e+00 
5.25000000e+04 1.30685061e+01 1.11452259e+01 9.03411414e+00 7.26878565e+00 5.91594117e+00 
5.26000000e+04 1.30575119e+01 1.11291538e+01 9.01732392e+00 7.25335034e+00 5.90244461e+00 
5.27000000e+04 1.30465097e+01 1.11131069e+01 9.00057849e+00 7.23796643e+00 5.88899851e+00 
5.28000000e+04 1.30354998e+01 1.10970851e+01 8.98387774e+00 7.22263373e+00 5.87560264e+00 
5.29000000e+04 1.30244823e+01 1.10810886e+01 8.96722156e+00 7.20735202e+00 5.86225674e+00 
5.30000000e+04 1.30134576e+01 1.10651174e+01 8.95060985e+00 7.19212111e+00 5.84896058e+00 
5.31000000e+04 1.30024257e+01 1.10491715e+01 8.93404249e+00 7.17694077e+00 5.83571392e+00 
5.32000000e+04 1.29913870e+01 1.10332510e+01 8.91751938e+00 7.16181083e+00 5.82251650e+00 
5.33000000e+04 1.29803415e+01 1.10173560e+01 8.90104041e+00 7.14673106e+00 5.80936810e+00 
5.34000000e+04 1.29692896e+01 1.10014865e+01 8.88460547e+00 7.13170127e+00 5.79626848e+00 
5.35000000e+04 1.29582314e+01 1.09856424e+01 8.86821445e+00 7.11672127e+00 5.78321739e+00 
5.36000000e+04 1.29471672e+01 1.09698240e+01 8.85186725e+00 7.10179084e+00 5.77021461e+00 
5.37000000e+04 1.29360971e+01 1.09540312e+01 8.83556374e+00 7.08690979e+00 5.75725990e+00 
5.38000000e+04 1.29250213e+01 1.09382640e+01 8.81930382e+00 7.07207793e+00 5.74435303e+00 
5.39000000e+04 1.29139400e+01 1.09225225e+01 8.80308738e+00 7.05729505e+00 5.73149377e+00 
5.40000000e+04 1.29028534e+01 1.09068067e+01 8.78691432e+00 7.04256095e+00 5.71868188e+00 
5.41000000e+04 1.28917618e+01 1.08911167e+01 8.77078451e+00 7.02787545e+00 5.70591713e+00 
5.42000000e+04 1.28806652e+01 1.08754524e+01 8.75469785e+00 7.01323833e+00 5.69319931e+00 
5.43000000e+04 1.28695639e+01 1.08598140e+01 8.73865422e+00 6.99864942e+00 5.68052818e+00 
5.44000000e+04 1.28584581e+01 1.08442015e+01 8.72265352e+00 6.98410852e+00 5.66790353e+00 
5.45000000e+04 1.28473479e+01 1.08286148e+01 8.70669564e+00 6.96961543e+00 5.65532511e+00 
5.46000000e+04 1.28362335e+01 1.08130540e+01 8.69078045e+00 6.95516995e+00 5.64279272e+00 
5.47000000e+04 1.28251152e+01 1.07975192e+01 8.67490786e+00 6.94077191e+00 5.63030613e+00 
5.48000000e+04 1.28139931e+01 1.07820104e+01 8.65907775e+00 6.92642110e+00 5.61786512e+00 
5.49000000e+04 1.28028673e+01 1.07665275e+01 8.64329000e+00 6.91211733e+00 5.60546947e+00 
5.50000000e+04 1.27917380e+01 1.07510707e+01 8.62754451e+00 6.89786042e+00 5.59311897e+00 
5.51000000e+04 1.27806055e+01 1.07356399e+01 8.61184116e+00 6.88365018e+00 5.58081339e+00 
5.52000000e+04 1.27694699e+01 1.07202351e+01 8.59617985e+00 6.86948642e+00 5.56855253e+00 
5.53000000e+04 1.27583313e+01 1.07048565e+01 8.58056045e+00 6.85536895e+00 5.55633616e+00 
5.54000000e+04 1.27471899e+01 1.06895039e+01 8.56498285e+00 6.84129758e+00 5.54416408e+00 
5.55000000e+04 1.27360459e+01 1.06741775e+01 8.54944696e+00 6.82727213e+00 5.53203608e+00 
5.56000000e+04 1.27248995e+01 1.06588772e+01 8.53395264e+00 6.81329242e+00 5.51995193e+00 
5.57000000e+04 1.27137508e+01 1.06436030e+01 8.51849979e+00 6.79935825e+00 5.50791145e+00 
5.58000000e+04 1.27025999e+01 1.06283550e+01 8.50308830e+00 6.78546944e+00 5.49591440e+00 
5.59000000e+04 1.26914471e+01 1.06131333e+01 8.48771806e+00 6.77162582e+00 5.48396060e+00 
5.60000000e+04 1.26802925e+01 1.05979377e+01 8.47238894e+00 6.75782720e+00 5.47204982e+00 
5.61000000e+04 1.26691362e+01 1.05827683e+01 8.45710084e+00 6.74407339e+00 5.46018188e+00 
5.62000000e+04 1.26579785e+01 1.05676251e+01 8.44185365e+00 6.73036422e+00 5.44835655e+00 
5.63000000e+04 1.26468193e+01 1.05525082e+01 8.42664726e+00 6.71669950e+00 5.43657365e+00 
5.64000000e+04 1.26356590e+01 1.05374175e+01 8.41148154e+00 6.70307906e+00 5.42483297e+00 
5.65000000e+04 1.26244977e+01 1.05223531e+01 8.39635640e+00 6.68950271e+00 5.41313431e+00 
5.66000000e+04 1.26133354e+01 1.05073149e+01 8.38127171e+00 6.67597029e+00 5.40147747e+00 
5.67000000e+04 1.26021724e+01 1.04923030e+01 8.36622736e+00 6.66248161e+00 5.38986225e+00 
5.68000000e+04 1.25910088e+01 1.04773174e+01 8.35122324e+00 6.64903649e+00 5.37828845e+00 
5.69000000e+04 1.25798447e+01 1.04623580e+01 8.33625924e+00 6.63563476e+00 5.36675588e+00 
5.70000000e+04 1.25686803e+01 1.04474249e+01 8.32133525e+00 6.62227624e+00 5.35526435e+00 
5.71000000e+04 1.25575158e+01 1.04325182e+01 8.30645115e+00 6.60896077e+00 5.34381366e+00 
5.72000000e+04 1.25463512e+01 1.04176377e+01 8.29160684e+00 6.59568815e+00 5.33240361e+00 
5.73000000e+04 1.25351867e+01 1.04027835e+01 8.27680219e+00 6.58245823e+00 5.32103402e+00 
5.74000000e+04 1.25240224e+01 1.03879555e+01 8.26203710e+00 6.56927084e+00 5.30970470e+00 
5.75000000e+04 1.25128585e+01 1.03731539e+01 8.24731145e+00 6.55612578e+00 5.29841545e+00 
5.76000000e+04 1.25016951e+01 1.03583786e+01 8.23262513e+00 6.54302291e+00 5.28716608e+00 
5.77000000e+04 1.24905323e+01 1.03436296e+01 8.21797804e+00 6.52996204e+00 5.27595642e+00 
5.78000000e+04 1.24793703e+01 1.03289068e+01 8.20337005e+00 6.51694301e+00 5.26478627e+00 
5.79000000e+04 1.24682092e+01 1.03142104e+01 8.18880106e+00 6.50396565e+00 5.25365545e+00 
5.80000000e+04 1.24570491e+01 1.02995402e+01 8.17427096e+00 6.49102979e+00 5.24256377e+00 
5.81000000e+04 1.24458902e+01 1.02848963e+01 8.15977963e+00 6.47813527e+00 5.23151104e+00 
5.82000000e+04 1.24347325e+01 1.02702787e+01 8.14532696e+00 6.46528191e+00 5.22049710e+00 
5.83000000e+04 1.24235763e+01 1.02556874e+01 8.13091284e+00 6.45246955e+00 5.20952175e+00 
5.84000000e+04 1.24124215e+01 1.02411223e+01 8.11653716e+00 6.43969802e+00 5.19858482e+00 
5.85000000e+04 1.24012684e+01 1.02265835e+01 8.10219980e+00 6.42696716e+00 5.18768613e+00 
5.86000000e+04 1.23901171e+01 1.02120709e+01 8.08790066e+00 6.41427682e+00 5.17682549e+00 
5.87000000e+04 1.23789677e+01 1.01975845e+01 8.07363963e+00 6.40162681e+00 5.16600273e+00 
5.88000000e+04 1.23678202e+01 1.01831244e+01 8.05941659e+00 6.38901699e+00 5.15521768e+00 
5.89000000e+04 1.23566749e+01 1.01686905e+01 8.04523144e+00 6.37644718e+00 5.14447015e+00 
5.90000000e+04 1.23455318e+01 1.01542829e+01 8.03108405e+00 6.36391723e+00 5.13375998e+00 
5.91000000e+04 1.23343910e+01 1.01399014e+01 8.01697434e+00 6.35142698e+00 5.12308699e+00 
5.92000000e+04 1.23232527e+01 1.01255461e+01 8.00290217e+00 6.33897626e+00 5.11245101e+00 
5.93000000e+04 1.23121170e+01 1.01112170e+01 7.98886744e+00 6.32656493e+00 5.10185186e+00 
5.94000000e+04 1.23009840e+01 1.00969141e+01 7.97487005e+00 6.31419281e+00 5.09128938e+00 
5.95000000e+04 1.22898537e+01 1.00826373e+01 7.96090988e+00 6.30185975e+00 5.08076340e+00 
5.96000000e+04 1.22787264e+01 1.00683867e+01 7.94698682e+00 6.28956560e+00 5.07027374e+00 
5.97000000e+04 1.22676020e+01 1.00541621e+01 7.93310076e+00 6.27731020e+00 5.05982024e+00 
5.98000000e+04 1.22564808e+01 1.00399637e+01 7.91925159e+00 6.26509339e+00 5.04940273e+00 
5.99000000e+04 1.22453628e+01 1.00257914e+01 7.90543921e+00 6.25291502e+00 5.03902105e+00 
6.00000000e+04 1.22342480e+01 1.00116452e+01 7.89166351e+00 6.24077493e+00 5.02867503e+00 
6.01000000e+04 1.22231368e+01 9.99752497e+00 7.87792437e+00 6.22867297e+00 5.01836450e+00 
6.02000000e+04 1.22120290e+01 9.98343083e+00 7.86422169e+00 6.21660899e+00 5.00808931e+00 
6.03000000e+04 1.22009249e+01 9.96936272e+00 7.85055535e+00 6.20458283e+00 4.99784929e+00 
6.04000000e+04 1.21898244e+01 9.95532061e+00 7.83692526e+00 6.19259434e+00 4.98764428e+00 
6.05000000e+04 1.21787278e+01 9.94130449e+00 7.82333129e+00 6.18064337e+00 4.97747412e+00 
6.06000000e+04 1.21676351e+01 9.92731435e+00 7.80977335e+00 6.16872977e+00 4.96733864e+00 
6.07000000e+04 1.21565465e+01 9.91335015e+00 7.79625133e+00 6.15685340e+00 4.95723770e+00 
6.08000000e+04 1.21454619e+01 9.89941189e+00 7.78276511e+00 6.14501409e+00 4.94717113e+00 
6.09000000e+04 1.21343815e+01 9.88549953e+00 7.76931460e+00 6.13321171e+00 4.93713877e+00 
6.10000000e+04 1.21233055e+01 9.87161306e+00 7.75589968e+00 6.12144610e+00 4.92714047e+00 
6.11000000e+04 1.21122338e+01 9.85775246e+00 7.74252024e+00 6.10971713e+00 4.91717607e+00 
6.12000000e+04 1.21011666e+01 9.84391771e+00 7.72917619e+00 6.09802463e+00 4.90724542e+00 
6.13000000e+04 1.20901039e+01 9.83010877e+00 7.71586740e+00 6.08636846e+00 4.89734837e+00 
6.14000000e+04 1.20790459e+01 9.81632564e+00 7.70259379e+00 6.07474849e+00 4.88748475e+00 
6.15000000e+04 1.20679927e+01 9.80256829e+00 7.68935523e+00 6.06316456e+00 4.87765443e+00 
6.16000000e+04 1.20569442e+01 9.78883668e+00 7.67615163e+00 6.05161654e+00 4.86785724e+00 
6.17000000e+04 1.20459007e+01 9.77513081e+00 7.66298287e+00 6.04010427e+00 4.85809304e+00 
6.18000000e+04 1.20348622e+01 9.76145064e+00 7.64984886e+00 6.02862762e+00 4.84836168e+00 
6.19000000e+04 1.20238288e+01 9.74779615e+00 7.63674948e+00 6.01718644e+00 4.83866301e+00 
6.20000000e+04 1.20128005e+01 9.73416731e+00 7.62368464e+00 6.00578059e+00 4.82899688e+00 
6.21000000e+04 1.20017775e+01 9.72056411e+00 7.61065422e+00 5.99440993e+00 4.81936314e+00 
6.22000000e+04 1.19907599e+01 9.70698650e+00 7.59765813e+00 5.98307433e+00 4.80976165e+00 
6.23000000e+04 1.19797476e+01 9.69343447e+00 7.58469625e+00 5.97177363e+00 4.80019226e+00 
6.24000000e+04 1.19687408e+01 9.67990799e+00 7.57176848e+00 5.96050770e+00 4.79065483e+00 
6.25000000e+04 1.19577396e+01 9.66640703e+00 7.55887473e+00 5.94927641e+00 4.78114921e+00 
6.26000000e+04 1.19467441e+01 9.65293157e+00 7.54601488e+00 5.93807962e+00 4.77167526e+00 
6.27000000e+04 1.19357542e+01 9.63948157e+00 7.53318883e+00 5.92691718e+00 4.76223284e+00 
6.28000000e+04 1.19247702e+01 9.62605701e+00 7.52039647e+00 5.91578896e+00 4.75282180e+00 
6.29000000e+04 1.19137920e+01 9.61265786e+00 7.50763772e+00 5.90469483e+00 4.74344201e+00 
6.30000000e+04 1.19028198e+01 9.59928409e+00 7.49491245e+00 5.89363465e+00 4.73409332e+00 
6.31000000e+04 1.18918536e+01 9.58593567e+00 7.48222057e+00 5.88260828e+00 4.72477560e+00 
6.32000000e+04 1.18808935e+01 9.57261257e+00 7.46956198e+00 5.87161560e+00 4.71548870e+00 
6.33000000e+04 1.18699396e+01 9.55931477e+00 7.45693658e+00 5.86065646e+00 4.70623249e+00 
6.34000000e+04 1.18589919e+01 9.54604222e+00 7.44434425e+00 5.84973074e+00 4.69700683e+00 
6.35000000e+04 1.18480505e+01 9.53279491e+00 7.43178491e+00 5.83883830e+00 4.68781159e+00 
6.36000000e+04 1.18371155e+01 9.51957280e+00 7.41925845e+00 5.82797901e+00 4.67864662e+00 
6.37000000e+04 1.18261869e+01 9.50637585e+00 7.40676476e+00 5.81715274e+00 4.66951180e+00 
6.38000000e+04 1.18152648e+01 9.49320404e+00 7.39430375e+00 5.80635936e+00 4.66040699e+00 
6.39000000e+04 1.18043494e+01 9.48005734e+00 7.38187532e+00 5.79559873e+00 4.65133206e+00 
6.40000000e+04 1.17934405e+01 9.46693571e+00 7.36947936e+00 5.78487074e+00 4.64228687e+00 
6.41000000e+04 1.17825384e+01 9.45383913e+00 7.35711577e+00 5.77417524e+00 4.63327128e+00 
6.42000000e+04 1.17716430e+01 9.44076755e+00 7.34478446e+00 5.76351212e+00 4.62428518e+00 
6.43000000e+04 1.17607545e+01 9.42772095e+00 7.33248533e+00 5.75288124e+00 4.61532843e+00 
6.44000000e+04 1.17498729e+01 9.41469929e+00 7.32021827e+00 5.74228248e+00 4.60640090e+00 
6.45000000e+04 1.17389983e+01 9.40170254e+00 7.30798319e+00 5.73171570e+00 4.59750246e+00 
6.46000000e+04 1.17281307e+01 9.38873066e+00 7.29577998e+00 5.72118079e+00 4.58863298e+00 
6.47000000e+04 1.17172701e+01 9.37578363e+00 7.28360856e+00 5.71067762e+00 4.57979233e+00 
6.48000000e+04 1.17064167e+01 9.36286141e+00 7.27146881e+00 5.70020606e+00 4.57098039e+00 
6.49000000e+04 1.16955706e+01 9.34996396e+00 7.25936064e+00 5.68976599e+00 4.56219703e+00 
6.50000000e+04 1.16847316e+01 9.33709125e+00 7.24728396e+00 5.67935729e+00 4.55344213e+00 
6.51000000e+04 1.16739000e+01 9.32424324e+00 7.23523866e+00 5.66897983e+00 4.54471555e+00 
6.52000000e+04 1.16630758e+01 9.31141990e+00 7.22322465e+00 5.65863348e+00 4.53601717e+00 
6.53000000e+04 1.16522591e+01 9.29862120e+00 7.21124183e+00 5.64831813e+00 4.52734688e+00 
6.54000000e+04 1.16414498e+01 9.28584710e+00 7.19929010e+00 5.63803366e+00 4.51870454e+00 
6.55000000e+04 1.16306480e+01 9.27309756e+00 7.18736937e+00 5.62777995e+00 4.51009004e+00 
6.56000000e+04 1.16198539e+01 9.26037254e+00 7.17547955e+00 5.61755686e+00 4.50150326e+00 
6.57000000e+04 1.16090674e+01 9.24767202e+00 7.16362052e+00 5.60736429e+00 4.49294406e+00 
6.58000000e+04 1.15982887e+01 9.23499595e+00 7.15179220e+00 5.59720211e+00 4.48441233e+00 
6.59000000e+04 1.15875177e+01 9.22234430e+00 7.13999450e+00 5.58707021e+00 4.47590796e+00 
6.60000000e+04 1.15767545e+01 9.20971704e+00 7.12822731e+00 5.57696847e+00 4.46743082e+00 
6.61000000e+04 1.15659992e+01 9.19711411e+00 7.11649055e+00 5.56689676e+00 4.45898079e+00 
6.62000000e+04 1.15552518e+01 9.18453550e+00 7.10478411e+00 5.55685498e+00 4.45055775e+00 
6.63000000e+04 1.15445123e+01 9.17198115e+00 7.09310790e+00 5.54684300e+00 4.44216160e+00 
6.64000000e+04 1.15337809e+01 9.15945104e+00 7.08146183e+00 5.53686071e+00 4.43379220e+00 
6.65000000e+04 1.15230576e+01 9.14694513e+00 7.06984580e+00 5.52690799e+00 4.42544945e+00 
6.66000000e+04 1.15123423e+01 9.13446337e+00 7.05825973e+00 5.51698472e+00 4.41713323e+00 
6.67000000e+04 1.15016352e+01 9.12200573e+00 7.04670350e+00 5.50709080e+00 4.40884343e+00 
6.68000000e+04 1.14909364e+01 9.10957217e+00 7.03517705e+00 5.49722611e+00 4.40057992e+00 
6.69000000e+04 1.14802458e+01 9.09716266e+00 7.02368026e+00 5.48739053e+00 4.39234260e+00 
6.70000000e+04 1.14695634e+01 9.08477715e+00 7.01221304e+00 5.47758396e+00 4.38413135e+00 
6.71000000e+04 1.14588895e+01 9.07241561e+00 7.00077531e+00 5.46780627e+00 4.37594607e+00 
6.72000000e+04 1.14482239e+01 9.06007800e+00 6.98936698e+00 5.45805736e+00 4.36778663e+00 
6.73000000e+04 1.14375668e+01 9.04776428e+00 6.97798794e+00 5.44833711e+00 4.35965293e+00 
6.74000000e+04 1.14269181e+01 9.03547441e+00 6.96663811e+00 5.43864542e+00 4.35154486e+00 
6.75000000e+04 1.14162780e+01 9.02320835e+00 6.95531739e+00 5.42898217e+00 4.34346230e+00 
6.76000000e+04 1.14056464e+01 9.01096606e+00 6.94402570e+00 5.41934725e+00 4.33540515e+00 
6.77000000e+04 1.13950234e+01 8.99874750e+00 6.93276295e+00 5.40974056e+00 4.32737330e+00 
6.78000000e+04 1.13844091e+01 8.98655264e+00 6.92152903e+00 5.40016198e+00 4.31936663e+00 
6.79000000e+04 1.13738035e+01 8.97438143e+00 6.91032388e+00 5.39061140e+00 4.31138505e+00 
6.80000000e+04 1.13632066e+01 8.96223383e+00 6.89914738e+00 5.38108872e+00 4.30342845e+00 
6.81000000e+04 1.13526184e+01 8.95010981e+00 6.88799945e+00 5.37159383e+00 4.29549671e+00 
6.82000000e+04 1.13420391e+01 8.93800932e+00 6.87688001e+00 5.36212662e+00 4.28758973e+00 
6.83000000e+04 1.13314686e+01 8.92593233e+00 6.86578896e+00 5.35268699e+00 4.27970741e+00 
6.84000000e+04 1.13209070e+01 8.91387878e+00 6.85472622e+00 5.34327482e+00 4.27184964e+00 
6.85000000e+04 1.13103543e+01 8.90184866e+00 6.84369169e+00 5.33389002e+00 4.26401631e+00 
6.86000000e+04 1.12998106e+01 8.88984190e+00 6.83268529e+00 5.32453247e+00 4.25620733e+00 
6.87000000e+04 1.12892759e+01 8.87785848e+00 6.82170693e+00 5.31520208e+00 4.24842259e+00 
6.88000000e+04 1.12787502e+01 8.86589835e+00 6.81075651e+00 5.30589874e+00 4.24066198e+00 
6.89000000e+04 1.12682336e+01 8.85396147e+00 6.79983396e+00 5.29662234e+00 4.23292541e+00 
6.90000000e+04 1.12577261e+01 8.84204780e+00 6.78893919e+00 5.28737278e+00 4.22521276e+00 
6.91000000e+04 1.12472277e+01 8.83015730e+00 6.77807210e+00 5.27814995e+00 4.21752395e+00 
6.92000000e+04 1.12367385e+01 8.81828992e+00 6.76723262e+00 5.26895377e+00 4.20985887e+00 
6.93000000e+04 1.12262585e+01 8.80644564e+00 6.75642065e+00 5.25978411e+00 4.20221741e+00 
6.94000000e+04 1.12157878e+01 8.79462440e+00 6.74563610e+00 5.25064089e+00 4.19459949e+00 
6.95000000e+04 1.12053263e+01 8.78282616e+00 6.73487890e+00 5.24152400e+00 4.18700500e+00 
6.96000000e+04 1.11948741e+01 8.77105089e+00 6.72414895e+00 5.23243333e+00 4.17943384e+00 
6.97000000e+04 1.11844313e+01 8.75929854e+00 6.71344618e+00 5.22336880e+00 4.17188591e+00 
6.98000000e+04 1.11739978e+01 8.74756907e+00 6.70277048e+00 5.21433030e+00 4.16436112e+00 
6.99000000e+04 1.11635737e+01 8.73586244e+00 6.69212179e+00 5.20531772e+00 4.15685936e+00 
7.00000000e+04 1.11531591e+01 8.72417860e+00 6.68150001e+00 5.19633098e+00 4.14938055e+00 
7.01000000e+04 1.11427539e+01 8.71251753e+00 6.67090506e+00 5.18736997e+00 4.14192459e+00 
7.02000000e+04 1.11323582e+01 8.70087916e+00 6.66033686e+00 5.17843459e+00 4.13449137e+00 
7.03000000e+04 1.11219720e+01 8.68926347e+00 6.64979531e+00 5.16952475e+00 4.12708081e+00 
7.04000000e+04 1.11115954e+01 8.67767041e+00 6.63928035e+00 5.16064035e+00 4.11969281e+00 
7.05000000e+04 1.11012284e+01 8.66609993e+00 6.62879188e+00 5.15178129e+00 4.11232728e+00 
7.06000000e+04 1.10908709e+01 8.65455200e+00 6.61832982e+00 5.14294748e+00 4.10498412e+00 
7.07000000e+04 1.10805231e+01 8.64302658e+00 6.60789408e+00 5.13413883e+00 4.09766324e+00 
7.08000000e+04 1.10701850e+01 8.63152361e+00 6.59748459e+00 5.12535522e+00 4.09036454e+00 
7.09000000e+04 1.10598565e+01 8.62004307e+00 6.58710127e+00 5.11659658e+00 4.08308794e+00 
7.10000000e+04 1.10495378e+01 8.60858491e+00 6.57674402e+00 5.10786280e+00 4.07583334e+00 
7.11000000e+04 1.10392287e+01 8.59714908e+00 6.56641277e+00 5.09915380e+00 4.06860066e+00 
7.12000000e+04 1.10289295e+01 8.58573554e+00 6.55610744e+00 5.09046947e+00 4.06138979e+00 
7.13000000e+04 1.10186400e+01 8.57434425e+00 6.54582794e+00 5.08180973e+00 4.05420065e+00 
7.14000000e+04 1.10083604e+01 8.56297517e+00 6.53557420e+00 5.07317447e+00 4.04703316e+00 
7.15000000e+04 1.09980906e+01 8.55162826e+00 6.52534613e+00 5.06456362e+00 4.03988721e+00 
7.16000000e+04 1.09878307e+01 8.54030347e+00 6.51514365e+00 5.05597708e+00 4.03276273e+00 
7.17000000e+04 1.09775806e+01 8.52900076e+00 6.50496668e+00 5.04741475e+00 4.02565961e+00 
7.18000000e+04 1.09673405e+01 8.51772009e+00 6.49481514e+00 5.03887654e+00 4.01857779e+00 
7.19000000e+04 1.09571102e+01 8.50646142e+00 6.48468896e+00 5.03036237e+00 4.01151716e+00 
7.20000000e+04 1.09468900e+01 8.49522470e+00 6.47458804e+00 5.02187214e+00 4.00447764e+00 
7.21000000e+04 1.09366797e+01 8.48400988e+00 6.46451232e+00 5.01340577e+00 3.99745914e+00 
7.22000000e+04 1.09264794e+01 8.47281694e+00 6.45446171e+00 5.00496315e+00 3.99046158e+00 
7.23000000e+04 1.09162892e+01 8.46164582e+00 6.44443614e+00 4.99654421e+00 3.98348487e+00 
7.24000000e+04 1.09061089e+01 8.45049649e+00 6.43443552e+00 4.98814886e+00 3.97652893e+00 
7.25000000e+04 1.08959388e+01 8.43936889e+00 6.42445977e+00 4.97977700e+00 3.96959366e+00 
7.26000000e+04 1.08857787e+01 8.42826299e+00 6.41450883e+00 4.97142856e+00 3.96267900e+00 
7.27000000e+04 1.08756288e+01 8.41717875e+00 6.40458261e+00 4.96310343e+00 3.95578484e+00 
7.28000000e+04 1.08654889e+01 8.40611612e+00 6.39468103e+00 4.95480153e+00 3.94891111e+00 
7.29000000e+04 1.08553592e+01 8.39507505e+00 6.38480402e+00 4.94652279e+00 3.94205773e+00 
7.30000000e+04 1.08452397e+01 8.38405551e+00 6.37495150e+00 4.93826710e+00 3.93522461e+00 
7.31000000e+04 1.08351303e+01 8.37305746e+00 6.36512339e+00 4.93003439e+00 3.92841167e+00 
7.32000000e+04 1.08250311e+01 8.36208085e+00 6.35531961e+00 4.92182457e+00 3.92161883e+00 
7.33000000e+04 1.08149422e+01 8.35112563e+00 6.34554009e+00 4.91363755e+00 3.91484600e+00 
7.34000000e+04 1.08048635e+01 8.34019177e+00 6.33578476e+00 4.90547324e+00 3.90809310e+00 
7.35000000e+04 1.07947950e+01 8.32927922e+00 6.32605354e+00 4.89733158e+00 3.90136006e+00 
7.36000000e+04 1.07847368e+01 8.31838794e+00 6.31634634e+00 4.88921246e+00 3.89464680e+00 
7.37000000e+04 1.07746889e+01 8.30751788e+00 6.30666311e+00 4.88111580e+00 3.88795322e+00 
7.38000000e+04 1.07646513e+01 8.29666901e+00 6.29700375e+00 4.87304153e+00 3.88127926e+00 
7.39000000e+04 1.07546240e+01 8.28584128e+00 6.28736820e+00 4.86498956e+00 3.87462484e+00 
7.40000000e+04 1.07446071e+01 8.27503465e+00 6.27775638e+00 4.85695980e+00 3.86798987e+00 
7.41000000e+04 1.07346005e+01 8.26424907e+00 6.26816822e+00 4.84895218e+00 3.86137427e+00 
7.42000000e+04 1.07246042e+01 8.25348450e+00 6.25860364e+00 4.84096661e+00 3.85477798e+00 
7.43000000e+04 1.07146184e+01 8.24274090e+00 6.24906258e+00 4.83300301e+00 3.84820091e+00 
7.44000000e+04 1.07046429e+01 8.23201823e+00 6.23954494e+00 4.82506130e+00 3.84164298e+00 
7.45000000e+04 1.06946779e+01 8.22131645e+00 6.23005067e+00 4.81714140e+00 3.83510412e+00 
7.46000000e+04 1.06847232e+01 8.21063550e+00 6.22057969e+00 4.80924323e+00 3.82858425e+00 
7.47000000e+04 1.06747790e+01 8.19997535e+00 6.21113193e+00 4.80136670e+00 3.82208330e+00 
7.48000000e+04 1.06648453e+01 8.18933596e+00 6.20170731e+00 4.79351174e+00 3.81560118e+00 
7.49000000e+04 1.06549220e+01 8.17871728e+00 6.19230576e+00 4.78567827e+00 3.80913783e+00 
7.50000000e+04 1.06450092e+01 8.16811926e+00 6.18292721e+00 4.77786620e+00 3.80269317e+00 
7.51000000e+04 1.06351069e+01 8.15754188e+00 6.17357159e+00 4.77007547e+00 3.79626712e+00 
7.52000000e+04 1.06252151e+01 8.14698508e+00 6.16423883e+00 4.76230599e+00 3.78985961e+00 
