#Idx,EeV,g,rIn,v,J,ECB,Group
4128,-1.032073e-01,1.335000e+02,2.037767e+00,14,133,8.646547e-01,34
4129,-1.031907e-01,4.250000e+01,1.820296e+00,33,42,1.195846e-01,43
4130,-1.031393e-01,1.705000e+02,2.344191e+00,2,170,1.480414e+00,30
4131,-1.017285e-01,1.265000e+02,2.006619e+00,16,126,7.691611e-01,35
4132,-1.016931e-01,6.350000e+01,1.844937e+00,30,63,1.973837e-01,41
4133,-1.012391e-01,2.250000e+01,1.806347e+00,35,22,1.036694e-01,43
4134,-1.009988e-01,9.450000e+01,1.904190e+00,24,94,4.197146e-01,37
4135,-1.002180e-01,5.050000e+01,1.828298e+00,32,50,1.325275e-01,43
4136,-9.971292e-02,6.950000e+01,1.854020e+00,29,69,2.304488e-01,40
4137,-9.846027e-02,1.115000e+02,1.951694e+00,20,111,5.863974e-01,36
4138,-9.839043e-02,5.750000e+01,1.836610e+00,31,57,1.627311e-01,42
4139,-9.770989e-02,1.075000e+02,1.939246e+00,21,107,5.426498e-01,36
4140,-9.750828e-02,3.450000e+01,1.813458e+00,34,34,1.062721e-01,43
4141,-9.749377e-02,2.350000e+01,1.806693e+00,35,23,1.002627e-01,44
4142,-9.623771e-02,1.155000e+02,1.964806e+00,19,115,6.291890e-01,36
4143,-9.537013e-02,4.350000e+01,1.820926e+00,33,43,1.129515e-01,43
4144,-9.517826e-02,5.000000e-01,1.800829e+00,36,0,9.517826e-02,44
4145,-9.503047e-02,1.500000e+00,1.800845e+00,36,1,9.503116e-02,44
4146,-9.489865e-02,8.050000e+01,1.873328e+00,27,80,2.998054e-01,39
4147,-9.473500e-02,2.500000e+00,1.800876e+00,36,2,9.473831e-02,44
4148,-9.435892e-02,1.405000e+02,2.072656e+00,12,140,9.566349e-01,33
4149,-9.429214e-02,3.500000e+00,1.800922e+00,36,3,9.430126e-02,44
4150,-9.416501e-02,1.035000e+02,1.927428e+00,22,103,4.980901e-01,37
4151,-9.410377e-02,8.550000e+01,1.883419e+00,26,85,3.371042e-01,39
4152,-9.370226e-02,4.500000e+00,1.800984e+00,36,4,9.372168e-02,44
