#Idx,EeV,g,rIn,v,J,ECB,Group
3996,-1.684664e-01,8.650000e+01,1.889081e+00,25,86,4.194220e-01,37
3997,-1.683633e-01,1.575000e+02,2.199481e+00,6,157,1.305303e+00,31
3998,-1.678210e-01,8.150000e+01,1.878641e+00,26,81,3.801238e-01,38
3999,-1.673106e-01,1.605000e+02,2.228179e+00,5,160,1.357300e+00,31
4000,-1.671548e-01,1.545000e+02,2.173493e+00,7,154,1.252451e+00,31
4001,-1.665876e-01,3.350000e+01,1.815339e+00,33,33,1.746108e-01,42
4002,-1.662988e-01,1.385000e+02,2.068237e+00,12,138,9.990584e-01,33
4003,-1.657794e-01,1.005000e+02,1.922989e+00,22,100,5.402239e-01,36
4004,-1.657442e-01,2.050000e+01,1.807821e+00,34,20,1.675822e-01,42
4005,-1.645684e-01,9.150000e+01,1.900179e+00,24,91,4.570088e-01,37
4006,-1.643785e-01,1.245000e+02,2.002819e+00,16,124,8.061710e-01,34
4007,-1.639088e-01,1.635000e+02,2.260344e+00,4,163,1.408377e+00,31
4008,-1.637746e-01,1.515000e+02,2.149703e+00,8,151,1.198812e+00,32
4009,-1.637001e-01,5.850000e+01,1.840575e+00,30,58,2.330132e-01,40
4010,-1.633349e-01,4.350000e+01,1.823556e+00,32,43,1.809162e-01,42
4011,-1.630611e-01,5.150000e+01,1.831918e+00,31,51,1.996521e-01,41
4012,-1.629500e-01,7.650000e+01,1.868841e+00,27,76,3.393722e-01,39
4013,-1.619449e-01,2.150000e+01,1.808125e+00,34,21,1.640653e-01,42
4014,-1.601945e-01,3.450000e+01,1.815827e+00,33,34,1.689582e-01,42
4015,-1.583141e-01,1.485000e+02,2.127744e+00,9,148,1.144458e+00,32
4016,-1.580711e-01,1.665000e+02,2.297184e+00,3,166,1.458471e+00,30
4017,-1.579737e-01,2.250000e+01,1.808443e+00,34,22,1.604040e-01,42
4018,-1.558574e-01,6.550000e+01,1.850161e+00,29,65,2.628144e-01,40
4019,-1.558492e-01,9.650000e+01,1.911959e+00,23,96,4.926671e-01,37
4020,-1.547977e-01,4.450000e+01,1.824185e+00,32,44,1.736232e-01,42
4021,-1.542194e-01,7.150000e+01,1.859665e+00,28,71,2.974749e-01,39
4022,-1.538320e-01,2.350000e+01,1.808777e+00,34,23,1.566010e-01,42
4023,-1.536334e-01,3.550000e+01,1.816331e+00,33,35,1.631820e-01,42
4024,-1.526789e-01,5.250000e+01,1.832659e+00,31,52,1.936489e-01,41
4025,-1.524979e-01,1.285000e+02,2.018801e+00,15,128,8.461093e-01,34
4026,-1.524089e-01,1.355000e+02,2.051501e+00,13,135,9.419596e-01,33
4027,-1.516915e-01,1.135000e+02,1.961420e+00,19,113,6.618814e-01,35
4028,-1.516151e-01,5.950000e+01,1.841414e+00,30,59,2.260011e-01,41
4029,-1.514005e-01,1.095000e+02,1.948449e+00,20,109,6.175891e-01,36
