#--------------------------#
# x [m]  X_O  X_O2  u [m/s]  Th [K]  rho [kg/m^3]  p [Pa]  nd [1/m^3]  H [J/kg]  Mf
  0.117303717008E-11  0.105802070669E-07  0.999999989420E+00  0.712498102632E+03  0.145344814543E+05  0.540151759047E-02  0.203993266473E+05  0.101655997786E+24  0.182731307142E+08  0.327895426043E+00
  0.119476754178E-11  0.107762039397E-07  0.999999989224E+00  0.712498102636E+03  0.145344814529E+05  0.540151759043E-02  0.203993266473E+05  0.101655997795E+24  0.182731307142E+08  0.327895426041E+00
  0.121671521719E-11  0.109741607814E-07  0.999999989026E+00  0.712498102641E+03  0.145344814516E+05  0.540151759040E-02  0.203993266473E+05  0.101655997805E+24  0.182731307142E+08  0.327895426039E+00
  0.123888236937E-11  0.111740971915E-07  0.999999988826E+00  0.712498102645E+03  0.145344814502E+05  0.540151759037E-02  0.203993266472E+05  0.101655997814E+24  0.182731307142E+08  0.327895426036E+00
  0.126127119306E-11  0.113760329658E-07  0.999999988624E+00  0.712498102650E+03  0.145344814488E+05  0.540151759033E-02  0.203993266472E+05  0.101655997824E+24  0.182731307142E+08  0.327895426034E+00
  0.128388390499E-11  0.115799880979E-07  0.999999988420E+00  0.712498102654E+03  0.145344814474E+05  0.540151759030E-02  0.203993266472E+05  0.101655997833E+24  0.182731307142E+08  0.327895426032E+00
  0.130672274404E-11  0.117859827813E-07  0.999999988214E+00  0.712498102659E+03  0.145344814460E+05  0.540151759027E-02  0.203993266472E+05  0.101655997843E+24  0.182731307142E+08  0.327895426030E+00
  0.132978997148E-11  0.119940374117E-07  0.999999988006E+00  0.712498102663E+03  0.145344814446E+05  0.540151759023E-02  0.203993266472E+05  0.101655997853E+24  0.182731307142E+08  0.327895426027E+00
  0.135308787120E-11  0.122041725885E-07  0.999999987796E+00  0.712498102668E+03  0.145344814431E+05  0.540151759020E-02  0.203993266472E+05  0.101655997863E+24  0.182731307142E+08  0.327895426025E+00
  0.137661874991E-11  0.124164091171E-07  0.999999987584E+00  0.712498102672E+03  0.145344814417E+05  0.540151759016E-02  0.203993266471E+05  0.101655997873E+24  0.182731307142E+08  0.327895426023E+00
  0.140038493741E-11  0.126307680111E-07  0.999999987369E+00  0.712498102677E+03  0.145344814402E+05  0.540151759013E-02  0.203993266471E+05  0.101655997884E+24  0.182731307142E+08  0.327895426020E+00
  0.142438878678E-11  0.128472704941E-07  0.999999987153E+00  0.712498102682E+03  0.145344814387E+05  0.540151759009E-02  0.203993266471E+05  0.101655997894E+24  0.182731307142E+08  0.327895426018E+00
  0.144863267465E-11  0.130659380020E-07  0.999999986934E+00  0.712498102687E+03  0.145344814372E+05  0.540151759005E-02  0.203993266471E+05  0.101655997904E+24  0.182731307142E+08  0.327895426016E+00
  0.147311900139E-11  0.132867921851E-07  0.999999986713E+00  0.712498102691E+03  0.145344814357E+05  0.540151759002E-02  0.203993266471E+05  0.101655997915E+24  0.182731307142E+08  0.327895426013E+00
  0.149785019141E-11  0.135098549101E-07  0.999999986490E+00  0.712498102696E+03  0.145344814341E+05  0.540151758998E-02  0.203993266471E+05  0.101655997926E+24  0.182731307142E+08  0.327895426011E+00
  0.152282869332E-11  0.137351482624E-07  0.999999986265E+00  0.712498102701E+03  0.145344814326E+05  0.540151758994E-02  0.203993266470E+05  0.101655997936E+24  0.182731307142E+08  0.327895426008E+00
  0.154805698026E-11  0.139626945484E-07  0.999999986037E+00  0.712498102706E+03  0.145344814310E+05  0.540151758990E-02  0.203993266470E+05  0.101655997947E+24  0.182731307142E+08  0.327895426006E+00
  0.157353755006E-11  0.141925162973E-07  0.999999985807E+00  0.712498102711E+03  0.145344814294E+05  0.540151758987E-02  0.203993266470E+05  0.101655997958E+24  0.182731307142E+08  0.327895426003E+00
  0.159927292556E-11  0.144246362637E-07  0.999999985575E+00  0.712498102716E+03  0.145344814278E+05  0.540151758983E-02  0.203993266470E+05  0.101655997969E+24  0.182731307142E+08  0.327895426001E+00
  0.162526565481E-11  0.146590774300E-07  0.999999985341E+00  0.712498102721E+03  0.145344814262E+05  0.540151758979E-02  0.203993266470E+05  0.101655997980E+24  0.182731307142E+08  0.327895425998E+00
  0.165151831136E-11  0.148958630080E-07  0.999999985104E+00  0.712498102727E+03  0.145344814246E+05  0.540151758975E-02  0.203993266469E+05  0.101655997992E+24  0.182731307142E+08  0.327895425995E+00
  0.167803349448E-11  0.151350164418E-07  0.999999984865E+00  0.712498102732E+03  0.145344814229E+05  0.540151758971E-02  0.203993266469E+05  0.101655998003E+24  0.182731307142E+08  0.327895425993E+00
  0.170481382942E-11  0.153765614101E-07  0.999999984623E+00  0.712498102737E+03  0.145344814213E+05  0.540151758967E-02  0.203993266469E+05  0.101655998015E+24  0.182731307142E+08  0.327895425990E+00
  0.173186196772E-11  0.156205218282E-07  0.999999984379E+00  0.712498102743E+03  0.145344814196E+05  0.540151758963E-02  0.203993266469E+05  0.101655998026E+24  0.182731307142E+08  0.327895425988E+00
  0.175918058739E-11  0.158669218506E-07  0.999999984133E+00  0.712498102748E+03  0.145344814179E+05  0.540151758959E-02  0.203993266469E+05  0.101655998038E+24  0.182731307142E+08  0.327895425985E+00
  0.178677239327E-11  0.161157858733E-07  0.999999983884E+00  0.712498102753E+03  0.145344814162E+05  0.540151758955E-02  0.203993266468E+05  0.101655998050E+24  0.182731307142E+08  0.327895425982E+00
  0.181464011720E-11  0.163671385363E-07  0.999999983633E+00  0.712498102759E+03  0.145344814145E+05  0.540151758951E-02  0.203993266468E+05  0.101655998062E+24  0.182731307142E+08  0.327895425979E+00
  0.184278651837E-11  0.166210047261E-07  0.999999983379E+00  0.712498102764E+03  0.145344814127E+05  0.540151758946E-02  0.203993266468E+05  0.101655998074E+24  0.182731307142E+08  0.327895425977E+00
  0.187121438356E-11  0.168774095779E-07  0.999999983123E+00  0.712498102770E+03  0.145344814110E+05  0.540151758942E-02  0.203993266468E+05  0.101655998086E+24  0.182731307142E+08  0.327895425974E+00
  0.189992652739E-11  0.171363784783E-07  0.999999982864E+00  0.712498102776E+03  0.145344814092E+05  0.540151758938E-02  0.203993266467E+05  0.101655998099E+24  0.182731307142E+08  0.327895425971E+00
  0.192892579266E-11  0.173979370678E-07  0.999999982602E+00  0.712498102781E+03  0.145344814074E+05  0.540151758933E-02  0.203993266467E+05  0.101655998111E+24  0.182731307142E+08  0.327895425968E+00
  0.195821505059E-11  0.176621112434E-07  0.999999982338E+00  0.712498102787E+03  0.145344814056E+05  0.540151758929E-02  0.203993266467E+05  0.101655998124E+24  0.182731307142E+08  0.327895425965E+00
  0.198779720110E-11  0.179289271608E-07  0.999999982071E+00  0.712498102793E+03  0.145344814037E+05  0.540151758925E-02  0.203993266467E+05  0.101655998136E+24  0.182731307142E+08  0.327895425962E+00
