#--------------------------#
# x [m]  X_O  X_O2_1  X_O2_2  X_O2_3  u [m/s]  Th [K]  rho [kg/m^3]  p [Pa]  nd [1/m^3]  H [J/kg]  Mf
  0.110912846836E-11  0.500000006625E-01  0.949999993545E+00  0.538831937074E-08  0.403877978805E-09  0.894512413183E+03  0.138338617555E+05  0.349571891846E-01  0.128877117451E+06  0.674759642959E+24  0.134601083637E+08  0.368889036364E+00
  0.113021975304E-11  0.500000006751E-01  0.949999993423E+00  0.549078393633E-08  0.411557967906E-09  0.894512413109E+03  0.138338617545E+05  0.349571891875E-01  0.128877117453E+06  0.674759643019E+24  0.134601083637E+08  0.368889036347E+00
  0.115152195057E-11  0.500000006878E-01  0.949999993299E+00  0.559427314758E-08  0.419314756899E-09  0.894512413033E+03  0.138338617535E+05  0.349571891905E-01  0.128877117455E+06  0.674759643081E+24  0.134601083637E+08  0.368889036329E+00
  0.117303717008E-11  0.500000007006E-01  0.949999993173E+00  0.569879725093E-08  0.427149113784E-09  0.894512412957E+03  0.138338617525E+05  0.349571891935E-01  0.128877117458E+06  0.674759643143E+24  0.134601083637E+08  0.368889036311E+00
  0.119476754178E-11  0.500000007136E-01  0.949999993047E+00  0.580436659531E-08  0.435061814238E-09  0.894512412880E+03  0.138338617514E+05  0.349571891965E-01  0.128877117460E+06  0.674759643206E+24  0.134601083637E+08  0.368889036294E+00
  0.121671521719E-11  0.500000007267E-01  0.949999992919E+00  0.591099163312E-08  0.443053641698E-09  0.894512412802E+03  0.138338617504E+05  0.349571891995E-01  0.128877117462E+06  0.674759643269E+24  0.134601083637E+08  0.368889036276E+00
  0.123888236937E-11  0.500000007400E-01  0.949999992790E+00  0.601868292131E-08  0.451125387435E-09  0.894512412723E+03  0.138338617494E+05  0.349571892026E-01  0.128877117465E+06  0.674759643333E+24  0.134601083637E+08  0.368889036257E+00
  0.126127119306E-11  0.500000007533E-01  0.949999992660E+00  0.612745112236E-08  0.459277850629E-09  0.894512412644E+03  0.138338617483E+05  0.349571892057E-01  0.128877117467E+06  0.674759643397E+24  0.134601083637E+08  0.368889036239E+00
  0.128388390499E-11  0.500000007668E-01  0.949999992528E+00  0.623730700543E-08  0.467511838457E-09  0.894512412563E+03  0.138338617472E+05  0.349571892089E-01  0.128877117470E+06  0.674759643463E+24  0.134601083637E+08  0.368889036220E+00
  0.130672274404E-11  0.500000007805E-01  0.949999992395E+00  0.634826144731E-08  0.475828166165E-09  0.894512412482E+03  0.138338617461E+05  0.349571892120E-01  0.128877117472E+06  0.674759643528E+24  0.134601083637E+08  0.368889036202E+00
