t [s],Y_O2(1),Y_O2(2),Y_O2(3),Y_O,T [K],p [Pa],n [m^-3],E [J/kg]
0.04934648550763235,0.6698017154589635,0.0018420415261370547,1.7809750036418905e-06,0.3283544620382636,2747.6132513750135,1779.2796071773098,4.690350699148453e+22,7211174.378468624
0.04944648550763235,0.669786097503844,0.001840547831511622,1.7781308396550253e-06,0.3283715765321726,2747.3138315780816,1779.1086327678079,4.690411129538657e+22,7211428.760596051
0.049546485507632354,0.6697705142252012,0.001839058402437923,1.7752970197146305e-06,0.32838865207370904,2747.01509017563,1778.9380405192885,4.690471422390056e+22,7211682.568270952
0.04964648550763236,0.6697549654760978,0.0018375732181088351,1.7724734852897615e-06,0.32840568883067583,2746.717024252771,1778.7678288027287,4.690531578295151e+22,7211935.803955292
0.04974648550763236,0.6697394511105146,0.0018360922578610427,1.7696601783064876e-06,0.3284226869698141,2746.419630913005,1778.5979959993228,4.690591597842697e+22,7212188.470095524
0.04984648550763236,0.6697239709833402,0.00183461550117343,1.7668570411377848e-06,0.3284396466568129,2746.1229072780875,1778.4285405004068,4.690651481617731e+22,7212440.56912272
0.049946485507632365,0.6697085249503677,0.0018331429276651824,1.764064016588488e-06,0.3284565680563183,2745.8268504878774,1778.2594607073815,4.690711230201614e+22,7212692.103452713
0.05004648550763237,0.6696931128682848,0.0018316745170947931,1.7612810478950825e-06,0.32847345133194045,2745.5314577001795,1778.0907550316183,4.6907708441720424e+22,7212943.075486194
0.05014648550763237,0.6696777345946662,0.0018302102493595392,1.7585080787340375e-06,0.32849029664626345,2745.2367260905817,1777.9224218943684,4.6908303241030924e+22,7213193.487608856
0.050246485507632374,0.6696623899879672,0.0018287501044941085,1.7557450532147835e-06,0.32850710416085344,2744.942652852323,1777.754459726695,4.690889670565247e+22,7213443.342191519
0.05034648550763238,0.6696470789075162,0.0018272940626686356,1.7529919158626137e-06,0.3285238740362672,2744.6492351961633,1777.5868669693994,4.690948884125422e+22,7213692.641590248
0.05044648550763238,0.6696318012135084,0.0018258421041875356,1.7502486116152483e-06,0.3285406064320605,2744.3564703502234,1777.419642072933,4.691007965347002e+22,7213941.388146473
0.05054648550763238,0.6696165567669975,0.0018243942094891136,1.7475150858325449e-06,0.3285573015067955,2744.0643555598285,1777.2527834973064,4.69106691478986e+22,7214189.584187102
0.050646485507632386,0.6696013454298894,0.001822950359144519,1.744791284294065e-06,0.3285739594180497,2743.7728880873797,1777.086289712023,4.691125733010395e+22,7214437.232024653
0.05074648550763239,0.6695861670649347,0.0018215105338557816,1.742077153181842e-06,0.3285905803224243,2743.48206521223,1776.92015919601,4.691184420561559e+22,7214684.333957374
0.05084648550763239,0.6695710215357232,0.0018200747144543838,1.7393726390713926e-06,0.32860716437555126,2743.19188423054,1776.7543904375386,4.691242977992879e+22,7214930.8922693385
0.050946485507632394,0.6695559087066764,0.0018186428819009382,1.7366776889421151e-06,0.32862371173210186,2742.9023424551183,1776.5889819341326,4.691301405850492e+22,7215176.909230576
0.0510464855076324,0.6695408284430399,0.0018172150172845098,1.7339922501805386e-06,0.3286402225457934,2742.613437215293,1776.4239321924967,4.691359704677163e+22,7215422.387097173
0.0511464855076324,0.669525780610878,0.0018157911018207517,1.7313162705636805e-06,0.328656696969399,2742.325165856803,1776.2592397284652,4.691417875012331e+22,7215667.32811142
0.0512464855076324,0.669510765077066,0.0018143711168501875,1.728649698245189e-06,0.32867313515475366,2742.037525741658,1776.0949030669144,4.691475917392112e+22,7215911.73450188
0.051346485507632406,0.6694957817092864,0.0018129550438378173,1.72599248176317e-06,0.3286895372527623,2741.7505142479863,1775.9309207416848,4.691533832349348e+22,7216155.60848352
0.05144648550763241,0.6694808303760189,0.0018115428643728348,1.7233445700501939e-06,0.3287059034134064,2741.464128769902,1775.7672912954997,4.691591620413613e+22,7216398.952257811
0.05154648550763241,0.6694659109465357,0.0018101345601669878,1.720705912419363e-06,0.3287222337857531,2741.178366717405,1775.604013279921,4.691649282111257e+22,7216641.768012859
0.051646485507632414,0.6694510232908951,0.0018087301130525763,1.71807645854522e-06,0.328738528517962,2740.893225516251,1775.4410852552692,4.691706817965423e+22,7216884.057923489
0.05174648550763242,0.6694361672799365,0.0018073295049818535,1.7154561584673906e-06,0.32875478775729144,2740.608702607811,1775.27850579055,4.691764228496073e+22,7217125.824151357
0.05184648550763242,0.6694213427852724,0.0018059327180270821,1.7128449626059447e-06,0.3287710116501062,2740.324795448927,1775.1162734633683,4.6918215142200125e+22,7217367.068845046
0.05194648550763242,0.669406549679282,0.0018045397343792644,1.7102428217530211e-06,0.3287872003418853,2740.0415015118188,1774.9543868598817,4.691878675650922e+22,7217607.794140199
0.052046485507632426,0.6693917878351061,0.001803150536345942,1.7076496870496839e-06,0.32880335397722915,2739.7588182839727,1774.792844574741,4.691935713299377e+22,7217848.002159603
0.05214648550763243,0.6693770571266426,0.0018017651063502247,1.7050655099829626e-06,0.3288194726998653,2739.4767432680005,1774.6316452110077,4.691992627672871e+22,7218087.695013278
0.05224648550763243,0.6693623574285388,0.001800383426931088,1.7024902424043758e-06,0.3288355566526558,2739.1952739814974,1774.4707873800742,4.692049419275843e+22,7218326.87479859
0.052346485507632434,0.6693476886161845,0.0017990054807426156,1.6999238365301337e-06,0.3288516059776047,2738.9144079569437,1774.3102697016134,4.692106088609706e+22,7218565.543600367
0.05244648550763244,0.6693330505657067,0.001797631250551721,1.6973662449156475e-06,0.3288676208158649,2738.6341427416146,1774.1500908035264,4.692162636172858e+22,7218803.70349098
0.05254648550763244,0.6693184431539668,0.0017962607192366956,1.6948174204441681e-06,0.32888360130774436,2738.3544758974426,1773.9902493218708,4.6922190624607225e+22,7219041.35653044
0.05264648550763244,0.6693038662585522,0.0017948938697875602,1.6922773163456432e-06,0.3288995475927123,2738.0754050008777,1773.8307439007758,4.692275367965756e+22,7219278.504766497
0.052746485507632446,0.6692893197577702,0.0017935306853059175,1.689745886206734e-06,0.3289154598094062,2737.7969276427807,1773.6715731923846,4.69233155317748e+22,7219515.150234737
0.05284648550763245,0.6692748035306422,0.0017921711490028035,1.6872230839469766e-06,0.32893133809563946,2737.519041428344,1773.5127358568166,4.692387618582509e+22,7219751.294958696
0.05294648550763245,0.669260317456901,0.0017908152441966823,1.6847088637974925e-06,0.3289471825884068,2737.241743976975,1773.354230562101,4.692443564664561e+22,7219986.940949927
